model,error_category,pid,relation,certificate_visible_errors,stable_errors,stable_fraction,recurrence_0,recurrence_1,recurrence_2,recurrence_3,recurrence_4,recurrence_5
Qwen/Qwen2.5-14B-Instruct,entity_type,ALL_ENTITY_TYPES,entity type assignment,23,15,0.6521739130434783,1,0,7,1,4,10
Qwen/Qwen2.5-14B-Instruct,relation_spurious,P131,located in the administrative territorial entity,1,1,1.0,0,0,0,1,0,0
Qwen/Qwen2.5-14B-Instruct,relation_spurious,P1344,participant in,55,6,0.10909090909090909,35,9,5,5,0,1
Qwen/Qwen2.5-14B-Instruct,relation_spurious,P150,contains administrative territorial entity,24,2,0.08333333333333333,9,5,8,2,0,0
Qwen/Qwen2.5-14B-Instruct,relation_spurious,P161,cast member,1,0,0.0,1,0,0,0,0,0
Qwen/Qwen2.5-14B-Instruct,relation_spurious,P27,country of citizenship,3,0,0.0,1,2,0,0,0,0
Qwen/Qwen2.5-14B-Instruct,relation_spurious,P361,part of,4,0,0.0,2,0,2,0,0,0
Qwen/Qwen2.5-14B-Instruct,relation_spurious,P495,country of origin,7,0,0.0,5,0,2,0,0,0
Qwen/Qwen2.5-14B-Instruct,relation_spurious,P527,has part,17,0,0.0,11,4,2,0,0,0
Qwen/Qwen2.5-14B-Instruct,relation_spurious,P577,publication date,1,0,0.0,1,0,0,0,0,0
Qwen/Qwen2.5-14B-Instruct,relation_spurious,P710,participant,7,0,0.0,6,1,0,0,0,0
Qwen/Qwen2.5-14B-Instruct,relation_spurious,P800,notable work,15,7,0.4666666666666667,1,7,0,2,3,2
Qwen/Qwen2.5-32B-Instruct,entity_type,ALL_ENTITY_TYPES,entity type assignment,10,8,0.8,0,1,1,0,3,5
Qwen/Qwen2.5-32B-Instruct,relation_spurious,P1001,applies to jurisdiction,4,0,0.0,3,1,0,0,0,0
Qwen/Qwen2.5-32B-Instruct,relation_spurious,P131,located in the administrative territorial entity,7,2,0.2857142857142857,1,1,3,2,0,0
Qwen/Qwen2.5-32B-Instruct,relation_spurious,P1344,participant in,37,6,0.16216216216216217,8,17,6,3,3,0
Qwen/Qwen2.5-32B-Instruct,relation_spurious,P150,contains administrative territorial entity,1,0,0.0,1,0,0,0,0,0
Qwen/Qwen2.5-32B-Instruct,relation_spurious,P175,performer,7,4,0.5714285714285714,1,1,1,1,3,0
Qwen/Qwen2.5-32B-Instruct,relation_spurious,P264,record label,2,2,1.0,0,0,0,2,0,0
Qwen/Qwen2.5-32B-Instruct,relation_spurious,P27,country of citizenship,2,0,0.0,2,0,0,0,0,0
Qwen/Qwen2.5-32B-Instruct,relation_spurious,P463,member of,7,0,0.0,5,2,0,0,0,0
Qwen/Qwen2.5-32B-Instruct,relation_spurious,P495,country of origin,7,3,0.42857142857142855,2,1,1,0,2,1
Qwen/Qwen2.5-32B-Instruct,relation_spurious,P571,inception (date founded/created),5,0,0.0,0,5,0,0,0,0
Qwen/Qwen2.5-32B-Instruct,relation_spurious,P710,participant,7,0,0.0,3,4,0,0,0,0
Qwen/Qwen2.5-32B-Instruct,relation_spurious,P800,notable work,6,3,0.5,2,1,0,1,1,1
Qwen/Qwen2.5-72B-Instruct,entity_type,ALL_ENTITY_TYPES,entity type assignment,30,25,0.8333333333333334,1,2,2,5,8,12
Qwen/Qwen2.5-72B-Instruct,relation_spurious,P131,located in the administrative territorial entity,1,0,0.0,0,1,0,0,0,0
Qwen/Qwen2.5-72B-Instruct,relation_spurious,P1344,participant in,42,11,0.2619047619047619,15,13,3,9,2,0
Qwen/Qwen2.5-72B-Instruct,relation_spurious,P161,cast member,11,4,0.36363636363636365,3,0,4,1,3,0
Qwen/Qwen2.5-72B-Instruct,relation_spurious,P17,country,1,0,0.0,1,0,0,0,0,0
Qwen/Qwen2.5-72B-Instruct,relation_spurious,P175,performer,8,7,0.875,0,1,0,4,3,0
