split,document_index,doc_key,violations,checkable,validated,uncheckable,bound,checkable_bound,gold_errors,theorem_checkable
dev,0,ICCV_2003_158_abs,3,3,3,0,1,1,24,True
dev,1,C04-1096,1,0,0,1,1,0,5,True
dev,2,P84-1047,0,0,0,0,0,0,17,True
dev,3,C88-1066,1,1,1,0,1,1,11,True
dev,4,C04-1116,2,1,1,1,2,1,3,True
dev,5,ICCV_2009_47_abs,0,0,0,0,0,0,5,True
dev,6,C80-1073,1,0,0,1,1,0,6,True
dev,7,H05-1041,2,0,0,2,1,0,4,True
dev,8,NIPS_2014_18_abs,0,0,0,0,0,0,7,True
dev,9,NIPS_2014_10_abs,0,0,0,0,0,0,7,True
dev,10,P03-1022,1,1,1,0,1,1,8,True
dev,11,CVPR_2010_10_abs,3,3,3,0,1,1,12,True
dev,12,H91-1010,0,0,0,0,0,0,6,True
dev,13,C88-2160,0,0,0,0,0,0,2,True
dev,14,P05-1034,1,1,1,0,1,1,11,True
dev,15,CVPR_2011_292_abs,0,0,0,0,0,0,14,True
dev,16,ECCV_2012_40_abs,2,0,0,2,1,0,10,True
dev,17,AAAI_2015_21_abs,0,0,0,0,0,0,9,True
dev,18,C04-1147,7,3,3,4,3,1,18,True
dev,19,A00-1024,3,3,3,0,2,2,7,True
dev,20,H01-1041,0,0,0,0,0,0,9,True
dev,21,N03-4010,2,0,0,2,2,0,5,True
dev,22,P04-1030,7,3,3,4,4,2,8,True
dev,23,CVPR_2004_10_abs,1,1,1,0,1,1,8,True
dev,24,L08-1260,1,1,1,0,1,1,10,True
dev,25,IJCAI_2016_412_abs,1,1,1,0,1,1,9,True
dev,26,W03-0406,3,1,1,2,2,1,5,True
dev,27,E99-1023,1,1,1,0,1,1,7,True
dev,28,N04-1008,2,0,0,2,1,0,1,True
dev,29,ICASSP_2011_598_abs,2,0,0,2,1,0,5,True
dev,30,CVPR_2003_10_abs,3,3,3,0,2,2,22,True
dev,31,P06-3008,1,1,1,0,1,1,17,True
dev,32,CVPR_2003_11_abs,4,1,1,3,1,1,7,True
dev,33,P05-1073,0,0,0,0,0,0,2,True
dev,34,E93-1023,2,0,0,2,1,0,11,True
dev,35,C90-3014,3,3,3,0,2,2,9,True
dev,36,IJCAI_2016_413_abs,0,0,0,0,0,0,5,True
dev,37,C08-3010,4,0,0,4,3,0,1,True
dev,38,J88-3002,2,0,0,2,1,0,2,True
dev,39,N04-4028,1,1,1,0,1,1,8,True
dev,40,H05-1005,1,0,0,1,1,0,11,True
dev,41,ICCV_2015_392_abs,1,1,1,0,1,1,12,True
dev,42,H92-1017,4,4,4,0,1,1,13,True
dev,43,CVPR_2016_416_abs,0,0,0,0,0,0,7,True
dev,44,CVPR_2015_303_abs,5,4,4,1,1,1,13,True
dev,45,J81-1002,0,0,0,0,0,0,4,True
dev,46,E99-1034,3,1,1,2,2,1,7,True
dev,47,N03-1017,0,0,0,0,0,0,6,True
dev,48,CVPR_2011_293_abs,1,1,1,0,1,1,11,True
dev,49,P05-3001,3,2,2,1,2,2,9,True
test,0,X96-1059,3,1,1,2,2,1,8,True
test,1,ICCV_2001_47_abs,0,0,0,0,0,0,10,True
test,2,INTERSPEECH_2013_21_abs,1,1,1,0,1,1,12,True
test,3,H01-1049,4,0,0,4,2,0,4,True
test,4,C96-1062,3,2,2,1,2,1,7,True
test,5,CVPR_2009_18_abs,0,0,0,0,0,0,6,True
test,6,P85-1019,5,0,0,5,1,0,13,True
test,7,P05-1039,0,0,0,0,0,0,4,True
test,8,P06-2012,2,1,1,1,2,1,15,True
test,9,P06-1018,1,0,0,1,1,0,20,True
test,10,NIPS_2001_11_abs,1,0,0,1,1,0,10,True
test,11,CVPR_1999_15_abs,0,0,0,0,0,0,6,True
test,12,C94-1091,0,0,0,0,0,0,10,True
test,13,ICCV_2003_161_abs,2,1,1,1,2,1,10,True
