model,pid,relation,total,cluster_checkable,legacy_checkable,head_only_uncheckable,tail_only_uncheckable,both_uncheckable
DeepSeek-V3,P1001,applies to jurisdiction,20,15,16,2,2,1
DeepSeek-V3,P131,located in the administrative territorial entity,4,4,4,,,
DeepSeek-V3,P1344,participant in,159,154,155,3,2,
DeepSeek-V3,P150,contains administrative territorial entity,22,21,21,,1,
DeepSeek-V3,P161,cast member,10,9,9,,1,
DeepSeek-V3,P175,performer,162,144,146,2,16,
DeepSeek-V3,P264,record label,6,6,6,,,
DeepSeek-V3,P27,country of citizenship,2,2,2,,,
DeepSeek-V3,P361,part of,3,3,3,,,
DeepSeek-V3,P463,member of,12,10,10,,1,1
DeepSeek-V3,P495,country of origin,74,65,66,2,7,
DeepSeek-V3,P527,has part,59,50,51,1,6,2
DeepSeek-V3,P569,date of birth,1,1,1,,,
DeepSeek-V3,P577,publication date,7,6,6,1,,
DeepSeek-V3,P710,participant,150,139,140,1,10,
DeepSeek-V3,P800,notable work,64,62,62,2,,
Qwen2.5-14B,P1001,applies to jurisdiction,9,9,9,,,
Qwen2.5-14B,P131,located in the administrative territorial entity,8,8,8,,,
Qwen2.5-14B,P1344,participant in,255,249,249,3,3,
Qwen2.5-14B,P150,contains administrative territorial entity,127,116,120,4,7,
Qwen2.5-14B,P161,cast member,29,29,29,,,
Qwen2.5-14B,P17,country,3,3,3,,,
Qwen2.5-14B,P175,performer,11,11,11,,,
Qwen2.5-14B,P264,record label,5,5,5,,,
Qwen2.5-14B,P27,country of citizenship,8,8,8,,,
Qwen2.5-14B,P361,part of,12,11,11,1,,
Qwen2.5-14B,P463,member of,4,4,4,,,
Qwen2.5-14B,P495,country of origin,36,32,32,1,3,
Qwen2.5-14B,P527,has part,65,56,56,,9,
Qwen2.5-14B,P571,inception (date founded/created),2,2,2,,,
Qwen2.5-14B,P577,publication date,3,3,3,,,
Qwen2.5-14B,P710,participant,37,35,35,,2,
Qwen2.5-14B,P800,notable work,53,51,51,2,,
Qwen2.5-32B,P1001,applies to jurisdiction,16,16,16,,,
Qwen2.5-32B,P131,located in the administrative territorial entity,19,17,19,2,,
Qwen2.5-32B,P1344,participant in,208,204,205,2,2,
Qwen2.5-32B,P150,contains administrative territorial entity,45,34,38,5,5,1
Qwen2.5-32B,P175,performer,32,32,32,,,
Qwen2.5-32B,P264,record label,2,2,2,,,
Qwen2.5-32B,P27,country of citizenship,4,4,4,,,
Qwen2.5-32B,P361,part of,1,1,1,,,
Qwen2.5-32B,P463,member of,23,23,23,,,
Qwen2.5-32B,P495,country of origin,49,47,47,1,1,
Qwen2.5-32B,P527,has part,27,18,18,,9,
Qwen2.5-32B,P569,date of birth,1,1,1,,,
Qwen2.5-32B,P571,inception (date founded/created),15,15,15,,,
Qwen2.5-32B,P577,publication date,8,7,8,,1,
Qwen2.5-32B,P710,participant,99,97,97,,2,
Qwen2.5-32B,P800,notable work,24,22,22,1,1,
Qwen2.5-72B,P1001,applies to jurisdiction,28,27,28,,1,
Qwen2.5-72B,P131,located in the administrative territorial entity,6,5,5,,,1
Qwen2.5-72B,P1344,participant in,198,191,192,4,3,
Qwen2.5-72B,P150,contains administrative territorial entity,11,10,10,,1,
Qwen2.5-72B,P161,cast member,23,22,23,1,,
Qwen2.5-72B,P17,country,5,3,3,,2,
Qwen2.5-72B,P175,performer,17,14,14,,3,
Qwen2.5-72B,P264,record label,5,5,5,,,
Qwen2.5-72B,P361,part of,14,13,13,,1,
Qwen2.5-72B,P463,member of,23,18,22,4,,1
Qwen2.5-72B,P495,country of origin,51,48,50,1,2,
Qwen2.5-72B,P527,has part,141,97,97,2,41,1
Qwen2.5-72B,P569,date of birth,17,13,16,1,3,
Qwen2.5-72B,P577,publication date,21,18,19,1,2,
Qwen2.5-72B,P710,participant,110,102,103,3,5,
Qwen2.5-72B,P800,notable work,104,98,99,4,2,
