model,pid,relation,documents,violations,bound,involved_errors,document_errors,bound_to_involved_error_ratio,bound_to_document_error_ratio
Qwen2.5-14B,P1001,applies to jurisdiction,8,9,8,12,81,0.6666666666666666,0.09876543209876543
Qwen2.5-14B,P131,located in the administrative territorial entity,5,8,6,10,65,0.6,0.09230769230769231
Qwen2.5-14B,P1344,participant in,90,249,104,266,931,0.39097744360902253,0.11170784103114931
Qwen2.5-14B,P150,contains administrative territorial entity,60,116,63,131,734,0.48091603053435117,0.08583106267029973
Qwen2.5-14B,P161,cast member,13,29,14,31,164,0.45161290322580644,0.08536585365853659
Qwen2.5-14B,P17,country,3,3,3,4,22,0.75,0.13636363636363635
Qwen2.5-14B,P175,performer,9,11,9,12,118,0.75,0.07627118644067797
Qwen2.5-14B,P264,record label,3,5,3,6,34,0.5,0.08823529411764706
Qwen2.5-14B,P27,country of citizenship,7,8,7,14,67,0.5,0.1044776119402985
Qwen2.5-14B,P361,part of,9,11,9,17,119,0.5294117647058824,0.07563025210084033
Qwen2.5-14B,P463,member of,4,4,4,5,30,0.8,0.13333333333333333
Qwen2.5-14B,P495,country of origin,25,32,26,40,320,0.65,0.08125
Qwen2.5-14B,P527,has part,28,56,32,72,370,0.4444444444444444,0.08648648648648649
Qwen2.5-14B,P571,inception (date founded/created),2,2,2,3,23,0.6666666666666666,0.08695652173913043
Qwen2.5-14B,P577,publication date,3,3,3,4,33,0.75,0.09090909090909091
Qwen2.5-14B,P710,participant,18,35,24,40,208,0.6,0.11538461538461539
Qwen2.5-14B,P800,notable work,37,51,39,54,381,0.7222222222222222,0.10236220472440945
Qwen2.5-32B,P1001,applies to jurisdiction,12,16,12,20,126,0.6,0.09523809523809523
Qwen2.5-32B,P131,located in the administrative territorial entity,10,17,15,25,117,0.6,0.1282051282051282
Qwen2.5-32B,P1344,participant in,77,204,88,227,728,0.3876651982378855,0.12087912087912088
Qwen2.5-32B,P150,contains administrative territorial entity,17,34,19,44,180,0.4318181818181818,0.10555555555555556
Qwen2.5-32B,P175,performer,13,32,17,36,130,0.4722222222222222,0.13076923076923078
