document_index,title,cache_file,cache_present,output_status,included_in_valid_rate_denominator,valid_structured_output
0,Willi Schneider (skeleton racer),0000.json,True,cached_unusable,True,False
1,Ross Alger,0001.json,True,cached_error,True,False
2,Mess of Blues (Jeff Healey album),0002.json,True,cached_unusable,True,False
3,Ramey Idriss,0003.json,True,cached_unusable,True,False
4,ELAM (Latin American School of Medicine) Cuba,0004.json,True,cached_unusable,True,False
5,Song of Freedom,0005.json,True,cached_unusable,True,False
6,Soccer Academy,0006.json,True,cached_unusable,True,False
7,ROKETSAN,0007.json,True,cached_unusable,True,False
8,The Sacramento Bee,0008.json,True,cached_unusable,True,False
9,Cambodia–Vietnam Friendship Monument,0009.json,True,valid,True,True
10,Paul Desmarais Jr.,0010.json,True,cached_error,True,False
11,Mola di Bari,0011.json,True,cached_error,True,False
12,"Westmere, New York",0012.json,True,cached_unusable,True,False
13,Edward Rowan Finnegan,0013.json,True,cached_error,True,False
14,Foix (river),0014.json,True,cached_unusable,True,False
15,Eivind Bolle,0015.json,True,cached_unusable,True,False
16,Henrik Angell,0016.json,True,cached_error,True,False
17,Carey Business School,0017.json,True,valid,True,True
18,Lehmann Bernheimer,0018.json,True,cached_error,True,False
19,Railroad Revival Tour,0019.json,True,cached_unusable,True,False
20,Australia–Chile Free Trade Agreement,0020.json,True,cached_unusable,True,False
21,South Gondar Zone,0021.json,True,cached_unusable,True,False
22,Morogoro Region,0022.json,True,cached_unusable,True,False
23,Manon Balletti,0023.json,True,cached_error,True,False
24,Pittsburgh Catholic,0024.json,True,cached_error,True,False
25,Toufique Imrose Khalidi,0025.json,True,cached_error,True,False
26,Mark McNamara,0026.json,True,cached_unusable,True,False
27,Nexus Q,0027.json,True,cached_error,True,False
28,Cranks and Shadows,0028.json,True,cached_unusable,True,False
29,The Christian Manifesto,0029.json,True,cached_error,True,False
30,Joseph in Islam,0030.json,True,cached_unusable,True,False
31,List of Prime Ministers of Thailand,0031.json,True,cached_unusable,True,False
32,Rogaland County Municipality,0032.json,True,cached_error,True,False
33,Kyoto Imperial Palace,0033.json,True,cached_error,True,False
34,The Yorkshire Post,0034.json,True,valid,True,True
