model,error_category,certificate_visibility,count
Qwen2.5-14B,entity_type,detectable,112
Qwen2.5-14B,entity_type,invisible,288
Qwen2.5-14B,relation_omission,out_of_scope,6734
Qwen2.5-14B,relation_spurious,detectable,610
Qwen2.5-14B,relation_spurious,invisible,1899
Qwen2.5-32B,entity_type,detectable,93
Qwen2.5-32B,entity_type,invisible,311
Qwen2.5-32B,relation_omission,out_of_scope,6553
Qwen2.5-32B,relation_spurious,detectable,544
Qwen2.5-32B,relation_spurious,invisible,1663
Qwen2.5-72B,entity_type,detectable,155
Qwen2.5-72B,entity_type,invisible,412
Qwen2.5-72B,relation_omission,out_of_scope,6472
Qwen2.5-72B,relation_spurious,detectable,687
Qwen2.5-72B,relation_spurious,invisible,2238
DeepSeek-V3,entity_type,detectable,163
DeepSeek-V3,entity_type,invisible,441
DeepSeek-V3,relation_omission,out_of_scope,6443
DeepSeek-V3,relation_spurious,detectable,669
DeepSeek-V3,relation_spurious,invisible,2025
