model,document_index,title,relation,pid,head,tail,head_alignment,tail_alignment,cluster_id_checkable,legacy_checkable,document_relations
DeepSeek-V3,287,Washington v. Texas,applies to jurisdiction,P1001,washington v texas,united states supreme court,containment_ambiguous_type,exact_unique,False,True,10
DeepSeek-V3,265,Truth in Music Advertising,applies to jurisdiction,P1001,the truth in music advertising act,50 states,containment_unique,unmatched,False,False,9
DeepSeek-V3,249,Irish experiment,member of,P463,the irish experiment,vfl afl clubs,containment_unique,unmatched,False,False,16
DeepSeek-V3,48,Zakhary Lyapunov,country of origin,P495,polish invaders,poland,containment_unique,unmatched,False,False,17
DeepSeek-V3,19,Railroad Revival Tour,performer,P175,mumford sons,this train,exact_ambiguous_type,exact_unique,False,True,15
DeepSeek-V3,19,Railroad Revival Tour,performer,P175,mumford sons,woody guthrie,exact_ambiguous_type,exact_unique,False,True,15
DeepSeek-V3,236,"Brigden, Ontario",has part,P527,brigden,500,exact_ambiguous_type,exact_unique,False,True,25
DeepSeek-V3,236,"Brigden, Ontario",applies to jurisdiction,P1001,brigden,police village,exact_ambiguous_type,unmatched,False,False,25
DeepSeek-V3,58,Beibu Gulf Economic Rim,participant in,P1344,beibu gulf economic rim,china asean cooperation,exact_unique,containment_ambiguous_type,False,True,9
DeepSeek-V3,154,Die Haut,country of origin,P495,die haut,german,exact_unique,exact_ambiguous_type,False,True,16
DeepSeek-V3,19,Railroad Revival Tour,participant,P710,railroad revival tour,mumford sons,exact_unique,exact_ambiguous_type,False,True,15
DeepSeek-V3,119,Energy and Environmental Security Initiative,applies to jurisdiction,P1001,energy and environmental security initiative,u s energy policies,exact_unique,unmatched,False,False,12
DeepSeek-V3,6,Soccer Academy,participant in,P1344,the soccer academy,professional soccer players,exact_unique,unmatched,False,False,11
DeepSeek-V3,178,Sarah Gibb,contains administrative territorial entity,P150,library of congress,12 volumes,exact_unique,unmatched,False,False,16
DeepSeek-V3,35,Won-yong,applies to jurisdiction,P1001,hanja,south korean government,unmatched,containment_unique,False,False,16
DeepSeek-V3,230,Mavis Grind,participant in,P1344,otters,mavis grind,unmatched,exact_unique,False,False,14
DeepSeek-V3,291,"They Shoot Horses, Don't They? (film)",participant in,P1344,they shoot horses don t they,23rd cannes film festival,unmatched,exact_unique,False,False,23
DeepSeek-V3,291,"They Shoot Horses, Don't They? (film)",participant in,P1344,they shoot horses don t they,42nd academy awards,unmatched,exact_unique,False,False,23
DeepSeek-V3,259,Quokka,member of,P463,quokka,macropod family,unmatched,unmatched,False,False,13
DeepSeek-V3,32,Rogaland County Municipality,has part,P527,county council,47 members,unmatched,unmatched,False,False,23
DeepSeek-V3,178,Sarah Gibb,has part,P527,12 volumes,6 named princesses,unmatched,unmatched,False,False,16
Qwen2.5-14B,179,List of songs recorded by Rage Against the Machine,contains administrative territorial entity,P150,rage against the machine,zack de la rocha,exact_ambiguous_type,exact_unique,False,True,26
Qwen2.5-14B,179,List of songs recorded by Rage Against the Machine,contains administrative territorial entity,P150,rage against the machine,tom morello,exact_ambiguous_type,exact_unique,False,True,26
Qwen2.5-14B,179,List of songs recorded by Rage Against the Machine,contains administrative territorial entity,P150,rage against the machine,tim commerford,exact_ambiguous_type,exact_unique,False,True,26
Qwen2.5-14B,155,Mehmet Çetingöz,participant in,P1344,mehmet eting z,u23 team,exact_unique,unmatched,False,False,13
Qwen2.5-14B,170,Abdul Jabar Sabet,participant in,P1344,abdul jabar sabet,human rights organization,exact_unique,unmatched,False,False,14
