model,document_index,title,n_entities,n_relations,n_violations,n_checkable_violations,n_uncheckable_violations,certificate_bound,gold_checkable_bound,gold_verifiable_errors,entity_type_errors,spurious_relation_errors,detectable_errors,tightness_ratio,conflicts_per_relation,bound_per_relation,cross_model_disagreement,n_vertices,n_hyperedges,mean_hyperedge_cardinality,maximum_hyperedge_cardinality,maximum_vertex_degree,n_components,largest_component_vertices,largest_component_hyperedges,hyperedge_overlap_density,incidence_density,matching_number
Qwen2.5-14B,0,Willi Schneider (skeleton racer),26,19,10,10,0,4,4,14,6,8,9,0.2857142857142857,0.5263157894736842,0.21052631578947367,0.7394521249359959,22,10,3.0,3,5,2,19,9,0.37777777777777777,0.13636363636363635,4
Qwen2.5-14B,1,Ross Alger,22,14,3,3,0,1,1,10,1,9,3,0.1,0.21428571428571427,0.07142857142857142,0.9178373776074925,7,3,3.0,3,3,1,7,3,1.0,0.42857142857142855,1
Qwen2.5-14B,2,Mess of Blues (Jeff Healey album),15,9,1,1,0,1,1,9,3,6,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.7653867102396514,3,1,3.0,3,1,1,3,1,0.0,1.0,1
Qwen2.5-14B,3,Ramey Idriss,14,11,2,2,0,1,1,7,0,7,2,0.14285714285714285,0.18181818181818182,0.09090909090909091,0.7842995169082125,5,2,3.0,3,2,1,5,2,1.0,0.6,1
Qwen2.5-14B,4,ELAM (Latin American School of Medicine) Cuba,22,16,3,3,0,1,1,13,0,13,3,0.07692307692307693,0.1875,0.0625,0.9895833333333334,7,3,3.0,3,3,1,7,3,1.0,0.42857142857142855,1
Qwen2.5-14B,5,Song of Freedom,15,6,2,2,0,1,1,4,1,3,2,0.25,0.3333333333333333,0.16666666666666666,0.901098901098901,5,2,3.0,3,2,1,5,2,1.0,0.6,1
Qwen2.5-14B,6,Soccer Academy,6,12,0,0,0,0,0,12,0,12,0,0.0,0.0,0.0,0.9372294372294373,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,7,ROKETSAN,13,13,5,5,0,1,1,10,0,10,5,0.1,0.38461538461538464,0.07692307692307693,0.8465277777777778,11,5,3.0,3,5,1,11,5,1.0,0.2727272727272727,1
Qwen2.5-14B,8,The Sacramento Bee,15,5,0,0,0,0,0,6,2,4,0,0.0,0.0,0.0,0.9478114478114478,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,9,Cambodia–Vietnam Friendship Monument,9,12,0,0,0,0,0,8,1,7,0,0.0,0.0,0.0,0.8981481481481483,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,10,Paul Desmarais Jr.,21,19,10,10,0,1,1,19,1,18,10,0.05263157894736842,0.5263157894736842,0.05263157894736842,0.7448498139287613,21,10,3.0,3,10,1,21,10,1.0,0.14285714285714285,1
Qwen2.5-14B,11,Mola di Bari,11,11,0,0,0,0,0,7,0,7,0,0.0,0.0,0.0,0.5729512317747611,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,12,"Westmere, New York",11,13,3,3,0,1,1,9,0,9,3,0.1111111111111111,0.23076923076923078,0.07692307692307693,0.7707336523125997,6,3,3.0,3,3,1,6,3,1.0,0.5,1
Qwen2.5-14B,13,Edward Rowan Finnegan,17,19,9,9,0,3,3,18,1,17,10,0.16666666666666666,0.47368421052631576,0.15789473684210525,0.9063492063492063,19,9,3.0,3,6,2,16,8,0.5,0.15789473684210525,3
Qwen2.5-14B,14,Foix (river),16,14,0,0,0,0,0,10,1,9,0,0.0,0.0,0.0,0.9761904761904763,0,0,0.0,0,0,0,0,0,0.0,0.0,0
