audit_row,model,document_index,title,relation_id,head_emitted,head_status,head_candidate_clusters,tail_emitted,tail_status,tail_candidate_clusters,automatic_category,all_gold_clusters,document_text,verified_head_gold_id,verified_tail_gold_id,human_note,manual_outcome,checked_by,checked_date
1,Qwen2.5-14B,73,Can't Take My Eyes Off You,P1344,ca n t take my eyes off you,unmatched,,the four seasons,exact_unique,9: ORG :: The Four Seasons,unmatched_only,0 [MISC] Can't Take My Eyes Off You || 1 [TIME] 1967 || 2 [PER] Valli | Frankie Valli || 3 [MISC] Billboard Hot 100 || 4 [TIME] a week || 5 [MISC] Windy || 6 [ORG] Association || 7 [PER] Bob Crewe || 8 [PER] Bob Gaudio || 9 [ORG] The Four Seasons || 10 [TIME] 1974 || 11 [MISC] My Eyes Adored You || 12 [ORG] NASA || 13 [MISC] STS-126 || 14 [PER] Christopher Ferguson,""" Ca n't Take My Eyes Off You "" is a 1967 single credited to Frankie Valli . The song was among his biggest hits , earning a gold record and reaching No . 2 on the Billboard Hot 100 for a week , stuck behind "" Windy "" by The Association . It was co - written by producer Bob Crewe and Bob Gaudio , a bandmate of Valli 's in The Four Seasons . It was Valli 's biggest solo hit until he hit # 1 in 1974 with "" My Eyes Adored You "" . "" Ca n't Take My Eyes Off You "" has had hundreds of cover versions , many of which have been on the charts in different countries . The song is a staple of television and film soundtracks , even being featured as part of the plot of some films , such as when the lead characters sing or arrange their own version of the song . Its chorus has also become a popular football chant , with supporters of various teams inserting their club 's name or a popular player 's name into the beat . The Valli version was also used by NASA as a wake - up song on the STS-126 space shuttle mission , to celebrate the anniversary of astronaut Christopher Ferguson , one of the mission 's crew members .",0,9,"head ""ca n t take my eyes off you"" is the document title / song name and is identical to gold cluster 0 [MISC] ""Can't Take My Eyes Off You""; only tokenisation and apostrophe loss prevented the automatic match. tail ""the four seasons"" is the exact unique match to cluster 9 [ORG] The Four Seasons.",RESOLVED_TO_GOLD_ID,Jiaxuan Li,2026-09-25
2,Qwen2.5-14B,73,Can't Take My Eyes Off You,P1344,ca n t take my eyes off you,unmatched,,bob gaudio,exact_unique,8: PER :: Bob Gaudio,unmatched_only,0 [MISC] Can't Take My Eyes Off You || 1 [TIME] 1967 || 2 [PER] Valli | Frankie Valli || 3 [MISC] Billboard Hot 100 || 4 [TIME] a week || 5 [MISC] Windy || 6 [ORG] Association || 7 [PER] Bob Crewe || 8 [PER] Bob Gaudio || 9 [ORG] The Four Seasons || 10 [TIME] 1974 || 11 [MISC] My Eyes Adored You || 12 [ORG] NASA || 13 [MISC] STS-126 || 14 [PER] Christopher Ferguson,""" Ca n't Take My Eyes Off You "" is a 1967 single credited to Frankie Valli . The song was among his biggest hits , earning a gold record and reaching No . 2 on the Billboard Hot 100 for a week , stuck behind "" Windy "" by The Association . It was co - written by producer Bob Crewe and Bob Gaudio , a bandmate of Valli 's in The Four Seasons . It was Valli 's biggest solo hit until he hit # 1 in 1974 with "" My Eyes Adored You "" . "" Ca n't Take My Eyes Off You "" has had hundreds of cover versions , many of which have been on the charts in different countries . The song is a staple of television and film soundtracks , even being featured as part of the plot of some films , such as when the lead characters sing or arrange their own version of the song . Its chorus has also become a popular football chant , with supporters of various teams inserting their club 's name or a popular player 's name into the beat . The Valli version was also used by NASA as a wake - up song on the STS-126 space shuttle mission , to celebrate the anniversary of astronaut Christopher Ferguson , one of the mission 's crew members .",0,8,"head resolves to the document-title cluster 0 [MISC] (tokenisation variant). tail ""bob gaudio"" is the exact unique match to cluster 8 [PER] Bob Gaudio, co-writer of the song.",RESOLVED_TO_GOLD_ID,Jiaxuan Li,2026-09-25
3,Qwen2.5-14B,73,Can't Take My Eyes Off You,P1344,ca n t take my eyes off you,unmatched,,bob crewe,exact_unique,7: PER :: Bob Crewe,unmatched_only,0 [MISC] Can't Take My Eyes Off You || 1 [TIME] 1967 || 2 [PER] Valli | Frankie Valli || 3 [MISC] Billboard Hot 100 || 4 [TIME] a week || 5 [MISC] Windy || 6 [ORG] Association || 7 [PER] Bob Crewe || 8 [PER] Bob Gaudio || 9 [ORG] The Four Seasons || 10 [TIME] 1974 || 11 [MISC] My Eyes Adored You || 12 [ORG] NASA || 13 [MISC] STS-126 || 14 [PER] Christopher Ferguson,""" Ca n't Take My Eyes Off You "" is a 1967 single credited to Frankie Valli . The song was among his biggest hits , earning a gold record and reaching No . 2 on the Billboard Hot 100 for a week , stuck behind "" Windy "" by The Association . It was co - written by producer Bob Crewe and Bob Gaudio , a bandmate of Valli 's in The Four Seasons . It was Valli 's biggest solo hit until he hit # 1 in 1974 with "" My Eyes Adored You "" . "" Ca n't Take My Eyes Off You "" has had hundreds of cover versions , many of which have been on the charts in different countries . The song is a staple of television and film soundtracks , even being featured as part of the plot of some films , such as when the lead characters sing or arrange their own version of the song . Its chorus has also become a popular football chant , with supporters of various teams inserting their club 's name or a popular player 's name into the beat . The Valli version was also used by NASA as a wake - up song on the STS-126 space shuttle mission , to celebrate the anniversary of astronaut Christopher Ferguson , one of the mission 's crew members .",0,7,"head resolves to the document-title cluster 0 [MISC] (tokenisation variant). tail ""bob crewe"" is the exact unique match to cluster 7 [PER] Bob Crewe, producer and co-writer named in the text.",RESOLVED_TO_GOLD_ID,Jiaxuan Li,2026-09-25
4,Qwen2.5-14B,155,Mehmet Çetingöz,P1344,mehmet eting z,exact_unique,0: PER :: Mehmet Çetingöz | Çetingöz,u23 team,unmatched,,unmatched_only,"0 [PER] Çetingöz | Mehmet Çetingöz || 1 [TIME] May 12, 1991 || 2 [LOC] Şanlıurfa || 3 [LOC] Turkey || 4 [LOC] Turkish || 5 [ORG] Beşiktaş JK || 6 [ORG] U23 || 7 [TIME] four years || 8 [NUM] fourteen || 9 [TIME] eight years || 10 [ORG] Şanlıurfa Wheelchair || 11 [TIME] August 2013 | April 17–23, 2013 || 12 [ORG] Turkish Wheelchair Basketball Super League || 13 [MISC] Fazza International Wheelchair Basketball Championships || 14 [LOC] Dubai","Mehmet Çetingöz ( born May 12 , 1991 in Şanlıurfa , Turkey ) is a Turkish wheelchair basketball player in center position . He is a 4 point player competing for Beşiktaş JK wheelchair basketball team . He is part of the Turkey men 's junior national wheelchair basketball team and captain of the U23 team . Çetingöz became paralyzed at his right leg as a result of polio he contracted when he was four years of age . He began with wheelchair basketball with fourteen in a disabled sports club in Şanlıurfa . After playing eight years for Şanlıurfa Wheelchair , he was transferred in August 2013 to Beşiktaş JK , which competes in the Turkish Wheelchair Basketball Super League . Çetingöz became champion with the national junior team at the 5th Fazza International Wheelchair Basketball Championships held on April 17–23 , 2013 in Dubai and was named Top Scorer .",0,6,"head ""mehmet eting z"" is a punctuation/spelling variant (missing cedilla and c) of cluster 0 [PER] Mehmet Çetingöz. tail ""u23 team"" is a descriptive expansion of the annotated mention ""U23""; the text says he is ""captain of the U23 team"", so both expressions denote the same unique team entity, gold cluster 6 [ORG].",RESOLVED_TO_GOLD_ID,Jiaxuan Li,2026-09-25
5,Qwen2.5-14B,170,Abdul Jabar Sabet,P1344,abdul jabar sabet,exact_unique,0: PER :: Abdul Jabar Sabet | Sabet,human rights organization,unmatched,,unmatched_only,0 [PER] Abdul Jabar Sabet | Sabet || 1 [LOC] Afghan | Afghanistan || 2 [TIME] May 2006 || 3 [PER] Hamid Karzai || 4 [MISC] Pashtun || 5 [PER] Gulbuddin Hekmatyar || 6 [LOC] U.S. || 7 [ORG] Voice of America || 8 [LOC] Montreal || 9 [ORG] Interior Ministry || 10 [LOC] Guantanamo Bay || 11 [LOC] Guantanamo || 12 [ORG] McClatchy News Service || 13 [ORG] Taliban || 14 [TIME] April 2007 || 15 [ORG] Tolo TV || 16 [NUM] Seven,"Abdul Jabar Sabet is an Afghan politician . In May 2006 Hamid Karzai appointed him Attorney General of Afghanistan . Sabet is an ethnic Pashtun . Sabet was a long time aide to former Afghan Prime Minister Gulbuddin Hekmatyar . After leaving Afghanistan , he worked in the U.S. for Voice of America . After living in Montreal , Sabet returned to Afghanistan to work for a human rights organization , before being appointed special adviser at the Interior Ministry . He was promoted to Attorney General in May 2006 . Sources close to the President Hamid Karzai say that Sabet was promoted with U.S. support in exchange for giving positive comments about the Guantanamo Bay detention facility . He has however been critical of the Guantanamo release policy . A series of articles on former Guantanamo captives , published by the McClatchy News Service , quoted Sabet commenting that the release of Guantanamo captives seemed to be divorced from the captives ' role in the Taliban , and to be focussed largely on whether the captives complied with the camp rules . In April 2007 , Sabet launched a violent raid on Tolo TV ( the country 's largest private TV chain ) for what he thought was a "" distorted "" report on his comments regarding the country 's judicial system . Seven journalists from the TV station were taken to his office by force without warrants and severely beaten .",0,NONE,"head ""abdul jabar sabet"" is the exact unique match to cluster 0 [PER]. tail ""human rights organization"" is an unnamed generic noun phrase in ""work for a human rights organization""; no gold cluster in this document denotes such an organisation (nearest gold ORGs are Interior Ministry, Voice of America, McClatchy News Service), so it points to no annotated entity.",UNMATCHED_ONLY,Jiaxuan Li,2026-09-25
6,Qwen2.5-14B,179,List of songs recorded by Rage Against the Machine,P150,rage against the machine,exact_ambiguous_type,0: ORG :: Rage Against the Machine; 10: MISC :: Rage Against the Machine,zack de la rocha,exact_unique,5: PER :: Zack de la Rocha | de la Rocha,type_conflict_only,0 [ORG] Rage Against the Machine || 1 [LOC] American || 2 [LOC] Los Angeles || 3 [LOC] California || 4 [TIME] 1991 || 5 [PER] Zack de la Rocha | de la Rocha || 6 [PER] Tom Morello || 7 [PER] Tim Commerford || 8 [PER] Brad Wilk || 9 [ORG] Epic Records | Epic || 10 [MISC] Rage Against the Machine || 11 [TIME] 1992 || 12 [NUM] four || 13 [MISC] Year of tha Boomerang || 14 [MISC] Higher Learning soundtrack || 15 [TIME] 1995 || 16 [MISC] Evil Empire || 17 [TIME] 1996 || 18 [TIME] 1997 || 19 [PER] Bruce Springsteen || 20 [MISC] The Ghost of Tom Joad || 21 [MISC] No Shelter || 22 [MISC] Godzilla || 23 [TIME] 1999 || 24 [MISC] The Battle of Los Angeles || 25 [TIME] October 2000 || 26 [MISC] Renegades || 27 [TIME] December 2000,"Rage Against the Machine is an American rap metal band from Los Angeles , California . Formed in 1991 , the group consists of vocalist Zack de la Rocha , guitarist Tom Morello , bassist Tim Commerford and drummer Brad Wilk . After a self - issued demo , the band signed with Epic Records and released its self - titled debut album Rage Against the Machine in 1992 , the material for which was written by all four members of the group . After contributing the single "" Year of tha Boomerang "" to the Higher Learning soundtrack in 1995 , the band released its second studio album Evil Empire in 1996 , on which "" Year of tha Boomerang "" was featured as the closing track . In 1997 the band released a cover version of Bruce Springsteen 's "" The Ghost of Tom Joad "" , and the following year contributed "" No Shelter "" to the soundtrack to the film Godzilla , as well as releasing it as a single . In 1999 the band released its final album of original material , The Battle of Los Angeles , which again credited all four members equally for songwriting . The group disbanded in October 2000 , after de la Rocha departed to focus on producing his first solo album . After the group 's breakup , Epic released Renegades in December 2000 , which featured cover versions of songs originally recorded by several hip hop artists , rock bands and other artists .",0,5,"The gold annotation assigns the same surface form ""Rage Against the Machine"" to cluster 0 [ORG] (the band) and cluster 10 [MISC] (the self-titled album). The model entity inventory labels the bare name as ORG, and the source distinguishes the band from the eponymous album; therefore head = 0. Tail is the exact unique match to cluster 5 [PER] Zack de la Rocha.",RESOLVED_TO_GOLD_ID,Jiaxuan Li,2026-09-25
7,Qwen2.5-14B,179,List of songs recorded by Rage Against the Machine,P150,rage against the machine,exact_ambiguous_type,0: ORG :: Rage Against the Machine; 10: MISC :: Rage Against the Machine,tom morello,exact_unique,6: PER :: Tom Morello,type_conflict_only,0 [ORG] Rage Against the Machine || 1 [LOC] American || 2 [LOC] Los Angeles || 3 [LOC] California || 4 [TIME] 1991 || 5 [PER] Zack de la Rocha | de la Rocha || 6 [PER] Tom Morello || 7 [PER] Tim Commerford || 8 [PER] Brad Wilk || 9 [ORG] Epic Records | Epic || 10 [MISC] Rage Against the Machine || 11 [TIME] 1992 || 12 [NUM] four || 13 [MISC] Year of tha Boomerang || 14 [MISC] Higher Learning soundtrack || 15 [TIME] 1995 || 16 [MISC] Evil Empire || 17 [TIME] 1996 || 18 [TIME] 1997 || 19 [PER] Bruce Springsteen || 20 [MISC] The Ghost of Tom Joad || 21 [MISC] No Shelter || 22 [MISC] Godzilla || 23 [TIME] 1999 || 24 [MISC] The Battle of Los Angeles || 25 [TIME] October 2000 || 26 [MISC] Renegades || 27 [TIME] December 2000,"Rage Against the Machine is an American rap metal band from Los Angeles , California . Formed in 1991 , the group consists of vocalist Zack de la Rocha , guitarist Tom Morello , bassist Tim Commerford and drummer Brad Wilk . After a self - issued demo , the band signed with Epic Records and released its self - titled debut album Rage Against the Machine in 1992 , the material for which was written by all four members of the group . After contributing the single "" Year of tha Boomerang "" to the Higher Learning soundtrack in 1995 , the band released its second studio album Evil Empire in 1996 , on which "" Year of tha Boomerang "" was featured as the closing track . In 1997 the band released a cover version of Bruce Springsteen 's "" The Ghost of Tom Joad "" , and the following year contributed "" No Shelter "" to the soundtrack to the film Godzilla , as well as releasing it as a single . In 1999 the band released its final album of original material , The Battle of Los Angeles , which again credited all four members equally for songwriting . The group disbanded in October 2000 , after de la Rocha departed to focus on producing his first solo album . After the group 's breakup , Epic released Renegades in December 2000 , which featured cover versions of songs originally recorded by several hip hop artists , rock bands and other artists .",0,6,"The gold annotation assigns the same surface form ""Rage Against the Machine"" to cluster 0 [ORG] (the band) and cluster 10 [MISC] (the self-titled album). The model entity inventory labels the bare name as ORG, and the source distinguishes the band from the eponymous album; therefore head = 0. Tail is the exact unique match to cluster 6 [PER] Tom Morello.",RESOLVED_TO_GOLD_ID,Jiaxuan Li,2026-09-25
8,Qwen2.5-14B,179,List of songs recorded by Rage Against the Machine,P150,rage against the machine,exact_ambiguous_type,0: ORG :: Rage Against the Machine; 10: MISC :: Rage Against the Machine,tim commerford,exact_unique,7: PER :: Tim Commerford,type_conflict_only,0 [ORG] Rage Against the Machine || 1 [LOC] American || 2 [LOC] Los Angeles || 3 [LOC] California || 4 [TIME] 1991 || 5 [PER] Zack de la Rocha | de la Rocha || 6 [PER] Tom Morello || 7 [PER] Tim Commerford || 8 [PER] Brad Wilk || 9 [ORG] Epic Records | Epic || 10 [MISC] Rage Against the Machine || 11 [TIME] 1992 || 12 [NUM] four || 13 [MISC] Year of tha Boomerang || 14 [MISC] Higher Learning soundtrack || 15 [TIME] 1995 || 16 [MISC] Evil Empire || 17 [TIME] 1996 || 18 [TIME] 1997 || 19 [PER] Bruce Springsteen || 20 [MISC] The Ghost of Tom Joad || 21 [MISC] No Shelter || 22 [MISC] Godzilla || 23 [TIME] 1999 || 24 [MISC] The Battle of Los Angeles || 25 [TIME] October 2000 || 26 [MISC] Renegades || 27 [TIME] December 2000,"Rage Against the Machine is an American rap metal band from Los Angeles , California . Formed in 1991 , the group consists of vocalist Zack de la Rocha , guitarist Tom Morello , bassist Tim Commerford and drummer Brad Wilk . After a self - issued demo , the band signed with Epic Records and released its self - titled debut album Rage Against the Machine in 1992 , the material for which was written by all four members of the group . After contributing the single "" Year of tha Boomerang "" to the Higher Learning soundtrack in 1995 , the band released its second studio album Evil Empire in 1996 , on which "" Year of tha Boomerang "" was featured as the closing track . In 1997 the band released a cover version of Bruce Springsteen 's "" The Ghost of Tom Joad "" , and the following year contributed "" No Shelter "" to the soundtrack to the film Godzilla , as well as releasing it as a single . In 1999 the band released its final album of original material , The Battle of Los Angeles , which again credited all four members equally for songwriting . The group disbanded in October 2000 , after de la Rocha departed to focus on producing his first solo album . After the group 's breakup , Epic released Renegades in December 2000 , which featured cover versions of songs originally recorded by several hip hop artists , rock bands and other artists .",0,7,"The gold annotation assigns the same surface form ""Rage Against the Machine"" to cluster 0 [ORG] (the band) and cluster 10 [MISC] (the self-titled album). The model entity inventory labels the bare name as ORG, and the source distinguishes the band from the eponymous album; therefore head = 0. Tail is the exact unique match to cluster 7 [PER] Tim Commerford.",RESOLVED_TO_GOLD_ID,Jiaxuan Li,2026-09-25
9,Qwen2.5-14B,187,Great South Australian Coastal Upwelling System,P361,austral summer,unmatched,,the great south australian coastal upwelling system,containment_unique,0: MISC :: GSACUS | Great South Australian Coastal Upwelling System | Great Southern Australian Coastal Upwelling System,unmatched_only,0 [MISC] GSACUS | Great South Australian Coastal Upwelling System | Great Southern Australian Coastal Upwelling System || 1 [LOC] Great Australian Bight || 2 [LOC] Ceduna || 3 [LOC] South Australia || 4 [LOC] Portland || 5 [LOC] Victoria || 6 [TIME] November || 7 [ORG] Ekman || 8 [LOC] Western Australia || 9 [LOC] Nullabor || 10 [LOC] Australia || 11 [LOC] Tasmania || 12 [LOC] South Australian,"The Great South Australian Coastal Upwelling System is a seasonal upwelling system in the eastern Great Australian Bight , extending from Ceduna , South Australia , to Portland , Victoria , over a distance of about . Upwelling events occur in the austral summer ( from November to May ) when seasonal winds blow from the southeast . These winds blow parallel to the shoreline at certain areas of the coast , which forces coastal waters offshore via Ekman transport and draws up cold , nutrient - rich waters from the ocean floor . Because the deep water carries abundant nutrients up from the ocean floor , the upwelling area differs from the rest of the Great Australian Bight , especially the areas offshore of Western Australia and the Nullabor in South Australia , which are generally nutrient - poor . Every summer , the upwelling sustains a bountiful ecosystem that attracts blue whales and supports rich fisheries . The Great South Australian Coastal Upwelling System ( GSACUS ) is Australia 's only deep - reaching coastal upwelling system , with nutrient - enriched water stemming from depths exceeding . Recently , a new upwelling centre has been discovered on the western shelf of Tasmania . Since this new upwelling centre is located outside South Australian waters , the entire upwelling system should be rather called the Great Southern Australian Coastal Upwelling System .",NONE,0,"tail ""the great south australian coastal upwelling system"" is contained in the alias list of cluster 0 [MISC]. head ""austral summer"" is a season spanning November to May; the only gold TIME cluster in this document is 6 [TIME] November, which denotes a single month and is not the same entity as the season. No gold cluster denotes the austral summer.",UNMATCHED_ONLY,Jiaxuan Li,2026-09-25
10,Qwen2.5-14B,196,Amos Hochstein,P1344,amos j hochstein,exact_unique,0: PER :: Amos J. Hochstein | Hochstein,deputy assistant secretary of state,unmatched,,unmatched_only,"0 [PER] Amos J. Hochstein | Hochstein || 1 [TIME] January 4, 1973 || 2 [LOC] U.S. || 3 [ORG] U.S. Congress || 4 [PER] Barack Obama || 5 [PER] Clinton || 6 [PER] Kerry || 7 [TIME] 2011 || 8 [ORG] International Energy Affairs || 9 [TIME] 2015 || 10 [ORG] State for Energy Ressources || 11 [ORG] State Department || 12 [PER] Joe Biden || 13 [TIME] 2017 || 14 [TIME] March 2017 || 15 [ORG] Tellurian || 16 [LOC] Houston || 17 [ORG] LNG || 18 [ORG] Naftogaz || 19 [ORG] Atlantic Council || 20 [ORG] U.S .- India Business Council","Amos J. Hochstein ( born January 4 , 1973 ) is a U.S. businessman , former diplomat and national security and energy expert . He has worked in the U.S. Congress , has testified before congressional panels and has served under the Barack Obama administration under Secretaries of State Clinton and Kerry . He was appointed Deputy Assistant Secretary of State in 2011 and as Special Envoy and Coordinator for International Energy Affairs . In 2015 , President Barack Obama nominated Hochstein to be the Assistant Secretary of State for Energy Ressources . While at the State Department , Hochstein worked as a close advisor to Vice - President Joe Biden . He served in the administration from 2011 to 2017 . In March 2017 , he joined Tellurian , a private Houston - based LNG company , where he serves as Senior Vice President Marketing . He serves on the supervisory board of Naftogaz as well as the Board 's of the Atlantic Council and U.S .- India Business Council .",0,NONE,"head ""amos j hochstein"" is the exact unique match to cluster 0 [PER]. tail ""deputy assistant secretary of state"" is a job title, not an entity; the gold ORG clusters in this document are International Energy Affairs (8), State for Energy Ressources (10) and State Department (11), none of which is denoted by the title. No gold cluster corresponds to it.",UNMATCHED_ONLY,Jiaxuan Li,2026-09-25
